代码,    名称,现价,所属行业,总市值,流通市值,
SZ300192,科斯伍德,17.75,传媒,4877721200,3059464400,
SZ300193,佳士科技,7.28,通用设备,3690241500,3334445100,
SZ300194,福安药业,5.59,化学制药,6650492200,4990214400,
SZ300195,长荣股份,6.17,专用设备,2674594000,1867463100,
SZ300196,长海股份,10.32,化工新材料,4284767800,2603959700,
SZ300197,铁汉生态,2.70,环保工程,6335091100,4787783300,
SZ300198,纳川股份,3.77,建筑材料,3888938000,3131441400,
SZ300199,翰宇药业,5.59,化学制药,5125622200,3346832200,
SZ300200,高盟新材,14.52,化工新材料,3871600800,3051600200,
SZ300201,海伦哲,3.58,专用设备,3726499000,3254445100,
SZ300202,聚龙股份,10.78,计算机设备,5923653100,4577696900,
SZ300203,聚光科技,13.31,仪器仪表,6023006600,6015519700,
SZ300204,舒泰神,10.48,生物制品,4988842000,4895868100,
SZ300205,天喻信息,9.82,通信设备,4223149900,4183209900,
SZ300206,理邦仪器,13.27,医疗器械服务,7719448900,4517613100,
SZ300207,欣旺达,14.39,电子制造,22579857000,19942482000,
SZ300208,青岛中程,5.56,电气设备,4167081000,3557246700,
SZ300209,天泽信息,12.62,计算机应用,5378261400,3328658400,
SZ300210,森远股份,3.22,专用设备,1559188200,1288967170,
SZ300211,亿通科技,7.12,通信设备,2155052900,2114285800,
SZ300212,易华录,47.83,计算机应用,25909862000,24569697000,
SZ300213,佳讯飞鸿,6.23,通信设备,3706391400,2725924900,
SZ300214,日科化学,8.10,化学制品,3449082200,2931719800,
SZ300215,电科院,6.75,电气设备,5118676800,3709740300,
SZ300217,东方电热,2.51,白色家电,3196469200,2206687200,
SZ300218,安利股份,6.97,化工合成材料,1512399400,1507446500,
SZ300219,鸿利智汇,8.24,光学光电子,5860131500,5025124200,
SZ300220,金运激光,51.11,其他电子,6439860000,6396495700,
SZ300221,银禧科技,4.69,化工合成材料,2121363700,1981424400,
SZ300222,科大智能,7.90,通用设备,5725529700,3679807400,
SZ300223,北京君正,93.18,半导体及元件,18830941000,11805882100,
SZ300224,正海磁材,7.66,新材料,6282858800,6218868200,
SZ300225,金力泰,6.10,化学制品,2869074000,2858500800,
SZ300226,上海钢联,77.61,通信服务,12348437800,11858710400,
SZ300227,光韵达,16.14,电子制造,4034914000,2514277500,
SZ300228,富瑞特装,4.07,通用设备,1924058500,1709828100,
SZ300229,拓尔思,17.01,计算机应用,8130970900,7917421500,
SZ300230,永利股份,4.80,化工合成材料,3917789000,2605178600,
SZ300231,银信科技,8.57,计算机应用,3788798900,3073906500,
